,usage_dateID_zulu,usage_timeID_zulu,sunlight_duration_minutes,usage_kWh,passengers,atms
396,20190109,62959,880.52,1625.19,695.0,9.0
397,20190109,65959,880.52,1874.24,878.0,9.0
398,20190109,72959,880.52,1622.05,917.0,9.0
399,20190109,75959,880.52,1815.9,475.0,7.0
400,20190109,82959,880.52,1570.01,558.0,8.0
401,20190109,85959,880.52,1945.14,724.0,8.0
402,20190109,92959,880.52,1658.38,581.0,7.0
403,20190109,95959,880.52,1661.53,733.0,9.0
404,20190109,102959,880.52,1606.33,766.0,8.0
405,20190109,105959,880.52,1695.4,490.0,5.0
406,20190109,112959,880.52,1578.75,359.0,5.0
407,20190109,115959,880.52,1615.07,569.0,5.0
408,20190109,122959,880.52,1292.68,913.0,7.0
409,20190109,125959,880.52,1563.03,240.0,2.0
410,20190109,132959,880.52,1261.95,511.0,6.0
411,20190109,135959,880.52,1393.62,527.0,5.0
412,20190109,142959,880.52,1169.03,281.0,4.0
413,20190109,145959,880.52,1501.55,991.0,8.0
414,20190109,152959,880.52,1268.23,196.0,2.0
415,20190109,155959,880.52,1458.94,1209.0,10.0
416,20190109,162959,880.52,1329.7,887.0,8.0
417,20190109,165959,880.52,1689.11,781.0,8.0
418,20190109,172959,880.52,1315.73,547.0,7.0
419,20190109,175959,880.52,1598.66,899.0,10.0
420,20190109,182959,880.52,1146.34,1118.0,12.0
421,20190109,185959,880.52,1333.21,967.0,11.0
422,20190109,192959,880.52,1219.69,511.0,7.0
423,20190109,195959,880.52,1419.83,526.0,9.0
424,20190109,202959,880.52,1303.16,455.0,8.0
425,20190109,205959,880.52,1426.11,270.0,3.0
426,20190109,212959,880.52,1214.09,740.0,8.0
427,20190109,215959,880.52,1214.09,447.0,8.0
428,20190109,222959,880.52,829.54,654.0,6.0
429,20190109,225959,880.52,967.5,182.0,1.0
430,20190109,232959,880.52,620.67,0.0,2.0
431,20190109,235959,880.52,593.07,0.0,0.0
432,20190110,2959,885.36,565.48,0.0,1.0
433,20190110,5959,885.36,503.31,183.0,2.0
434,20190110,12959,885.36,444.98,0.0,2.0
435,20190110,15959,885.36,531.6,0.0,0.0
436,20190110,22959,885.36,466.99,0.0,1.0
437,20190110,25959,885.36,595.52,0.0,0.0
438,20190110,32959,885.36,850.85,0.0,0.0
439,20190110,35959,885.36,1238.55,0.0,0.0
440,20190110,42959,885.36,1017.1,0.0,0.0
441,20190110,45959,885.36,1287.45,0.0,1.0
442,20190110,52959,885.36,961.22,0.0,1.0
443,20190110,55959,885.36,1094.3,416.0,6.0
444,20190110,62959,885.36,1265.29,1105.0,11.0
445,20190110,65959,885.36,1320.9,964.0,10.0
446,20190110,72959,885.36,1200.18,472.0,6.0
447,20190110,75959,885.36,1370.88,1196.0,12.0
448,20190110,82959,885.36,1038.98,547.0,9.0
449,20190110,85959,885.36,1252.62,597.0,7.0
450,20190110,92959,885.36,1069.95,1058.0,10.0
451,20190110,95959,885.36,1200.18,749.0,11.0
452,20190110,102959,885.36,980.2,264.0,5.0
453,20190110,105959,885.36,1131.89,614.0,6.0
454,20190110,112959,885.36,874.61,706.0,7.0
455,20190110,115959,885.36,1165.34,197.0,3.0
456,20190110,122959,885.36,837.31,2038.0,13.0
457,20190110,125959,885.36,1041.45,336.0,4.0
458,20190110,132959,885.36,917.56,842.0,8.0
459,20190110,135959,885.36,1109.72,558.0,5.0
460,20190110,142959,885.36,942.19,841.0,6.0
461,20190110,145959,885.36,1109.72,1099.0,11.0
462,20190110,152959,885.36,1007.31,239.0,3.0
463,20190110,155959,885.36,1106.55,1296.0,11.0
464,20190110,162959,885.36,923.89,1220.0,10.0
465,20190110,165959,885.36,1100.22,1095.0,11.0
466,20190110,172959,885.36,779.59,1103.0,14.0
467,20190110,175959,885.36,1114.66,795.0,9.0
468,20190110,182959,885.36,885.18,1346.0,13.0
469,20190110,185959,885.36,1067.85,1718.0,14.0
470,20190110,192959,885.36,851.04,924.0,9.0
471,20190110,195959,885.36,1067.85,1096.0,12.0
472,20190110,202959,885.36,912.98,877.0,11.0
473,20190110,205959,885.36,1182.24,740.0,7.0
474,20190110,212959,885.36,915.46,607.0,6.0
475,20190110,215959,885.36,1169.57,743.0,12.0
476,20190110,222959,885.36,696.17,295.0,4.0
477,20190110,225959,885.36,844.71,0.0,0.0
478,20190110,232959,885.36,631.06,368.0,4.0
479,20190110,235959,885.36,534.98,0.0,0.0
480,20190111,2959,890.42,438.89,0.0,1.0
481,20190111,5959,890.42,407.92,0.0,1.0
482,20190111,12959,890.42,432.56,0.0,1.0
483,20190111,15959,890.42,385.75,0.0,1.0
484,20190111,22959,890.42,413.55,0.0,2.0
485,20190111,25959,890.42,469.86,0.0,1.0
486,20190111,32959,890.42,748.62,0.0,1.0
487,20190111,35959,890.42,1110.79,0.0,0.0
488,20190111,42959,890.42,949.59,0.0,0.0
489,20190111,45959,890.42,1098.82,0.0,1.0
490,20190111,52959,890.42,984.43,216.0,3.0
491,20190111,55959,890.42,1205.11,657.0,7.0
492,20190111,62959,890.42,1020.67,1266.0,10.0
493,20190111,65959,890.42,1138.23,763.0,10.0
494,20190111,72959,890.42,983.37,823.0,11.0
495,20190111,75959,890.42,1097.76,757.0,8.0
496,20190111,82959,890.42,992.17,276.0,7.0
497,20190111,85959,890.42,1112.89,549.0,6.0
498,20190111,92959,890.42,1001.67,853.0,10.0
499,20190111,95959,890.42,1395.52,868.0,10.0
500,20190111,102959,890.42,1141.4,1037.0,10.0
501,20190111,105959,890.42,1348.7,1135.0,11.0
502,20190111,112959,890.42,1001.67,805.0,8.0
503,20190111,115959,890.42,1094.59,1560.0,12.0
504,20190111,122959,890.42,967.53,829.0,7.0
505,20190111,125959,890.42,1041.45,1649.0,11.0
506,20190111,132959,890.42,849.27,938.0,10.0
507,20190111,135959,890.42,1112.89,1023.0,8.0
508,20190111,142959,890.42,908.75,739.0,9.0
509,20190111,145959,890.42,1060.45,1036.0,9.0
510,20190111,152959,890.42,927.06,392.0,8.0
